date,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district of columbia,florida,georgia,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new hampshire,new jersey,new mexico,new york,north carolina,north dakota,ohio,oklahoma,oregon,pennsylvania,rhode island,south carolina,south dakota,tennessee,texas,utah,vermont,virginia,washington,west virginia,wisconsin,wyoming
2007-07-01,68,77,63,78,60,80,33,80,43,66,70,61,85,68,49,46,83,57,36,78,67,51,77,62,46,74,66,66,56,42,68,69,68,65,58,86,62,76,53,61,67,68,71,76,88,61,50,65,58,70,76
2007-08-01,70,76,66,81,62,80,32,79,43,67,73,69,96,72,52,50,84,59,38,74,67,48,80,73,54,76,72,70,56,42,59,68,67,63,66,86,63,75,53,61,85,67,74,77,100,59,49,64,64,67,75
2007-09-01,70,66,61,78,55,72,29,72,37,60,67,59,73,63,46,45,77,55,38,63,61,43,74,57,44,70,66,74,54,37,51,67,65,55,59,80,62,69,47,53,72,58,73,73,80,55,47,60,67,58,65
2007-10-01,64,65,62,73,62,78,29,69,39,59,68,58,69,64,46,45,76,56,37,59,59,43,69,55,44,69,64,69,51,33,50,61,66,54,65,81,58,66,49,52,67,60,68,70,76,54,44,61,58,58,64
2007-11-01,60,62,56,70,48,63,26,65,37,54,62,56,65,58,42,42,73,51,33,53,53,39,65,49,41,66,65,65,48,30,45,58,63,48,57,73,55,64,43,45,56,51,61,65,74,50,40,57,54,51,59
2007-12-01,57,64,57,68,49,67,26,61,32,57,59,59,72,58,41,47,74,47,31,55,52,38,61,50,38,63,73,64,50,31,46,60,63,47,55,71,55,65,39,43,52,50,57,64,73,55,39,56,58,52,66
2008-01-01,64,73,63,73,56,71,26,66,42,70,67,64,77,62,48,58,75,52,36,58,58,41,69,52,44,68,77,61,67,80,48,65,67,54,61,75,57,67,46,48,88,55,65,69,82,54,44,60,63,57,77
2008-02-01,64,70,63,75,57,70,26,68,41,65,64,66,77,69,57,45,76,54,36,61,61,41,63,55,45,69,72,63,56,30,47,68,65,52,63,82,58,65,45,49,61,57,67,72,80,59,45,62,57,62,68
2008-03-01,62,69,62,76,53,68,25,66,37,64,66,59,72,59,51,42,75,56,34,60,57,40,61,51,48,69,65,58,50,29,47,60,64,55,60,78,56,66,49,50,61,57,63,72,81,50,42,59,55,54,73
2008-04-01,64,72,61,76,55,69,26,68,40,63,65,60,74,63,56,44,83,61,35,60,58,41,63,54,45,69,68,63,50,29,48,61,62,54,69,78,60,66,59,48,61,58,63,73,82,47,44,61,51,54,65
2008-05-01,62,71,56,72,53,68,25,66,35,60,62,56,74,57,100,41,73,82,33,61,56,38,62,50,42,65,67,57,47,28,48,60,59,52,57,76,56,67,42,50,56,64,59,69,83,47,44,56,63,53,65
2008-06-01,62,72,55,69,54,69,25,66,42,59,61,55,74,58,73,56,74,49,33,66,56,37,63,49,44,66,63,57,47,32,48,60,59,52,60,78,55,65,42,49,57,72,57,68,79,50,42,56,49,61,66
2008-07-01,68,71,55,72,55,73,25,71,34,61,64,56,79,59,57,44,75,49,34,70,59,39,66,52,42,67,68,58,48,34,52,61,59,51,60,78,59,68,44,54,58,61,61,72,81,55,44,56,50,59,67
2008-08-01,70,81,56,75,51,71,24,72,30,61,100,53,80,59,52,44,75,50,37,67,58,38,67,53,42,66,69,63,46,33,50,60,61,50,57,81,58,68,43,51,58,58,62,69,82,51,42,56,51,54,63
2008-09-01,71,95,55,73,49,65,24,68,38,56,69,50,77,58,49,43,72,49,38,61,54,39,66,50,43,66,62,63,45,30,42,57,61,47,54,81,58,63,43,48,56,55,65,73,76,48,40,58,51,52,61
2008-10-01,64,71,54,72,50,62,24,64,37,54,62,52,68,57,51,41,67,47,34,55,51,38,61,47,38,65,58,62,45,28,41,55,59,46,58,78,57,59,43,44,53,53,60,67,74,47,38,56,49,49,57
2008-11-01,61,69,52,62,53,59,22,57,38,51,56,52,62,53,46,38,64,43,30,51,48,37,58,49,34,62,63,60,45,24,37,49,57,42,52,70,55,58,39,40,46,57,55,63,72,44,35,52,44,44,55
2008-12-01,59,61,49,59,45,59,21,56,32,51,52,52,70,54,44,40,67,41,29,55,45,33,53,47,35,56,66,55,47,23,38,55,56,38,49,68,53,60,35,37,43,46,53,59,73,46,34,50,43,45,56
2009-01-01,60,67,60,67,49,63,22,59,37,62,56,57,70,55,46,40,67,45,31,55,49,34,58,44,36,57,67,55,48,23,38,55,56,42,52,75,58,59,37,41,49,52,57,64,80,46,37,57,44,48,61
2009-02-01,56,64,56,67,51,59,23,60,37,59,54,52,68,53,44,41,67,47,31,55,49,34,56,43,38,60,64,55,45,24,38,53,54,41,53,73,56,58,38,39,49,49,53,63,76,48,36,53,42,48,66
2009-03-01,61,69,53,68,51,62,35,61,38,60,56,54,69,55,43,40,70,51,32,56,51,36,57,44,39,61,73,56,45,22,39,55,55,44,79,75,57,60,37,42,50,58,55,63,77,42,38,53,45,48,63
2009-04-01,63,65,52,68,52,65,29,64,40,58,56,53,72,53,44,43,70,62,32,56,52,36,59,44,37,60,93,55,44,23,40,56,55,43,55,75,55,60,37,40,49,51,54,66,77,43,38,52,43,48,61
2009-05-01,57,61,47,65,56,59,23,61,31,54,52,53,69,50,42,38,64,75,31,58,48,34,54,40,36,55,96,50,41,24,41,51,50,40,44,72,51,60,36,42,44,47,50,62,73,39,36,49,41,46,58
2009-06-01,58,65,45,66,49,62,23,62,33,53,48,53,70,49,45,39,65,43,29,61,49,36,56,41,35,55,92,53,41,25,46,53,51,39,43,73,51,61,35,42,49,51,52,62,74,40,35,51,41,48,63
2009-07-01,59,70,47,67,51,66,29,69,30,55,49,53,75,52,50,41,66,44,30,69,51,37,61,43,37,57,100,54,42,27,43,53,53,43,47,79,52,64,38,48,51,52,55,65,76,43,37,50,44,51,65
2009-08-01,61,62,48,66,52,65,25,65,30,54,49,55,77,53,47,42,67,45,31,66,50,37,61,46,36,56,97,55,42,26,40,53,53,41,45,80,54,65,37,45,48,49,57,66,79,43,37,50,44,51,62
2009-09-01,64,57,47,70,47,61,22,62,32,51,54,48,68,51,45,42,64,44,30,58,47,36,63,43,37,55,82,59,40,24,35,52,54,37,44,76,55,60,35,41,51,46,59,63,72,42,36,50,44,45,61
2009-10-01,58,57,47,68,44,63,21,59,31,52,52,49,65,49,44,43,63,41,29,56,44,35,57,44,36,54,80,57,38,22,35,49,54,36,48,74,50,55,35,36,45,45,54,62,69,41,34,49,41,44,56
2009-11-01,56,58,44,60,42,55,20,55,27,49,48,44,60,44,40,38,59,40,28,55,40,31,53,38,33,49,81,55,39,19,34,55,53,34,46,70,46,54,31,34,42,43,52,59,68,37,33,46,38,39,50
